"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__superTopHighlight","elementList__topNewDevelopment","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","paginable","upperRangePosition","lowerRangePosition"
"94300961","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/02/d7/727054685.jpg","23","10","1","210940.0","flat","sale","104.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300961/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","2028.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","1168","24","12","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","True","600","550"
"94300982","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/97/62/717106621.jpg","19","10","1","209880.0","flat","sale","102.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300982/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","2058.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"94300938","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/25/92/737620856.jpg","14","10","1","210940.0","flat","sale","119.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300938/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1773.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"94300945","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/97/62/717106621.jpg","15","10","1","208820.0","flat","sale","99.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300945/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","2109.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"94300920","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/84/23/733777819.jpg","9","10","1","206700.0","flat","sale","101.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300920/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","2047.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"94300905","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/97/62/717106621.jpg","7","10","bj","207760.0","flat","sale","107.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300905/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1942.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"94300876","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/25/92/737620856.jpg","2","10","bj","207760.0","flat","sale","106.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300876/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1960.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"94300864","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/84/23/733777819.jpg","6","10","bj","217300.0","flat","sale","131.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300864/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1659.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"94300863","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/02/d7/727054685.jpg","5","10","bj","220480.0","flat","sale","148.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300863/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1490.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"94300862","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/b8/2b/717106622.jpg","4","10","bj","224720.0","flat","sale","167.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300862/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1346.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"94300741","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/97/62/717106621.jpg","1","10","bj","243000.0","flat","sale","189.0","True","2","2","Calle Arganda, 17","Madrid","Loeches","","es","40.3827674","-3.4101723","True","https://www.idealista.com/obra-nueva/94300741/","8895","Obra nueva Residencial “LOS JARDINES DEL CONDE DUQUE” Sagelliv Obras y Construcciones. Pisos de 1 y 2 dormitorios. Desde 169.000 €. NUEVA PROMOCIÓN OBRA NUEVA 24 VIVIENDAS DE VENTA LIBRE EN LOECHES, CENTRO DEL CASCO. LICENCIA DE OBRAS CONCEDIDA. COMIENZO DE OBRA INMINENTE. 38 plazas de garaje individuales, de coche y moto, con piscina, pádel, parque y piscina infantil, jardines, incluido en el precio. Calle Arganda, 17 con vuelta a calle Coso, 1. La promoción se encuentra en el centro del casco urbano a 100 m. del ayuntamiento. Con todos los servicios, farmacia, centro de salud, transporte público en zona residencial y muy tranquila. Viviendas de 1 y 2 dormitorios, bajos con jardín y dúplex con terraza amplia. Video portero, cocina amueblada, climatización por Aerotermia frio/calor, con suelo refrescante, jardín comunitario, con piscina, pádel, parque infantil, piscina de niños, totalmente cerrado, en urbanización privada. La viviendas incluyen garaje y trastero. Con excelentes relación calidad precio. SAGELLIV, con más de 20 años de experiencia, es fiel a su filosofía de trabajo: “CON DEDICACIÓN, CREANDO HOGARES. ” Ponemos a su disposición nuestro equipo de trabajo en nuestra oficina: Plaza de la Villa, 14 - 1º Loeches – Madrid.","False","newdevelopment","True","True","True","True","False","1286.0","flat","","Loeches","Piso en Calle Arganda, 17","True","False","False","False","","","False","False","","","","","","","","","",""
"92213838","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/28/60/865112725.jpg","","99","","1050000.0","chalet","sale","740.0","False","5","4","Diseminado Valdegrande","Madrid","Chinchón","","es","40.2113547","-3.4928776","False","https://www.idealista.com/inmueble/92213838/","12684","FINCA EN VENTA A MEDIA HORA DE MADRID Ubicada en el término municipal de Chinchón.  Se trata de una finca de más de cinco hectáreas de terreno (51.500 m2) en la que existen varias edificaciones: En la entrada de la finca se encuentra un amplio espacio exterior ajardinado en el que se pueden estacionar varios vehículos.  1. - CASA PRINCIPAL: 420 m2 construidos. Se accede a través de un bonito patio que aporta luminosidad a toda la casa. Cuenta con 4 dormitorios (tres de ellos con el cuarto de baño incorporado). Un baño adicional completo, además de un aseo de cortesía.  Salón en dos alturas, desde el que se accede al porche y al jardín, que cuenta con chimenea central además de un altillo/biblioteca, comedor con chimenea y cocina desde la que se accede, a través de una escalera, a un espacio auxiliar (despensa, office, dormitorio de servicio, etc. ). La casa principal dispone de un amplio jardín y porche con vistas al campo 2. - VIVIENDA AUXILIAR - PABELLÓN DE INVITADOS 60 m2 construidos distribuidos en 1 dormitorio, baño, cocina, y salón. 3. - CUARTO DE CALDERAS Y ALMACÉN 4. -VESTUARIOS/SPA En una plataforma de terreno inferior a la de las edificaciones anteriores se encuentra un segundo jardín con amplia piscina, barbacoa exterior, cenador al aire libre y una cuarta edificación: Se trata de una edificación que acoge en el ala derecha dos habitaciones, dos baños completos con ducha y en el ala izquierda un SPA que cuenta con sauna, jacuzzi y ducha. Las dos habitaciones cuentan con climatización y luz natural por lo que podrían destinarse como habitaciones para invitados. La finca cuenta además con unas caballerizas y un silo.","False","good","False","","True","True","","1419.0","chalet","independantHouse","Chinchón","Casa independiente en Diseminado Valdegrande","True","False","False","False","villaType","Villa","False","False","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","luxuryType","Lujo","","","","","","","","","","","",""
"89087465","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/a2/55/1047583583.jpg","GIRE-1151002","8","bj","46000.0","flat","sale","44.0","True","2","1","Calle Alamillo","Madrid","Valdilecha","","es","40.2933502","-3.303574","False","https://www.idealista.com/inmueble/89087465/","8558","¿Quieres comprar piso de 2 habitaciones en Valdilecha de 44 metros cuadrados? Excelente oportunidad de adquirir en propiedad este piso residencial con una superficie de 44 m² bien distribuidos en 2 habitaciones 1 cuarto de baño ubicado en la localidad de Valdilecha, provincia de Madrid. ¿Quieres más información? No dudes en ponerte en contacto con nosotros. Visita sin compromiso, sin comisiones de intermediación. Más información rellenando el formulario de contacto o por teléfono. Estaremos encantados de atenderte. Portal es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra.. . tanto a nivel particular como para inversores. Portal cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.","False","renew","False","False","","","","1045.0","flat","","Valdilecha","Piso en Calle Alamillo","False","False","False","False","","","False","False","","","","","","","","","",""
